indice_tiempo,sist_financ_margen_financ,sist_financ_margen_financ_ingresos_por_intereses,sist_financ_margen_financ_egresos_por_intereses,sist_financ_margen_financ_ajustes_cer_cvs,sist_financ_margen_financ_diferencias_cotizacion,sist_financ_margen_financ_resultado_titulos_valores,sist_financ_margen_financ_primas_por_pases,sist_financ_margen_financ_otros_resultados_financs,sist_financ_resultado_por_servicios,sist_financ_cargos_por_incobrabilidad,sist_financ_gastos_administracion,sist_financ_cargas_impositivas,sist_financ_ajustes_valuacion_prestamos_al_sector_publico,sist_financ_amortizacion_amparos,sist_financ_diversos,sist_financ_resultado_monetario,sist_financ_resultado_tot_antes_imp_ganancias,sist_financ_impuesto_ganancias,sist_financ_resultado_total,sist_financ_resultado_ajustado,bancos_priv_margen_financ,bancos_priv_margen_financ_ingresos_por_intereses,bancos_priv_margen_financ_egresos_por_intereses,bancos_priv_margen_financ_ajustes_cer_cvs,bancos_priv_margen_financ_diferencias_cotizacion,bancos_priv_margen_financ_resultado_titulos_valores,bancos_priv_margen_financ_primas_por_pases,bancos_priv_margen_financ_otros_resultados_financs,bancos_priv_resultado_por_servicios,bancos_priv_cargos_por_incobrabilidad,bancos_priv_gastos_administracion,bancos_priv_cargas_impositivas,bancos_priv_ajustes_valuacion_prestamos_al_sector_publico,bancos_priv_amortizacion_amparos,bancos_priv_diversos,bancos_priv_resultado_monetario,bancos_priv_resultado_tot_antes_imp_ganancias,bancos_priv_impuesto_ganancias,bancos_priv_resultado_total,bancos_priv_resultado_ajustado,bancos_priv_nac_margen_financ,bancos_priv_nac_margen_financ_ingresos_por_intereses,bancos_priv_nac_margen_financ_egresos_por_intereses,bancos_priv_nac_margen_financ_ajustes_cer_cvs,bancos_priv_nac_margen_financ_diferencias_cotizacion,bancos_priv_nac_margen_financ_resultado_titulos_valores,bancos_priv_nac_margen_financ_primas_por_pases,bancos_priv_nac_margen_financ_otros_resultados_financs,bancos_priv_nac_resultado_por_servicios,bancos_priv_nac_cargos_por_incobrabilidad,bancos_priv_nac_gastos_administracion,bancos_priv_nac_cargas_impositivas,bancos_priv_nac_ajustes_valuacion_prestamos_sector_publico,bancos_priv_nac_amortizacion_amparos,bancos_priv_nac_diversos,bancos_priv_nac_resultado_monetario,bancos_priv_nac_resultado_tot_antes_imp_ganancias,bancos_priv_nac_impuesto_ganancias,bancos_priv_nac_resultado_total,bancos_priv_nac_resultado_ajustado,bancos_priv_ext_margen_financ,bancos_priv_ext_margen_financ_ingresos_por_intereses,bancos_priv_ext_margen_financ_egresos_por_intereses,bancos_priv_ext_margen_financ_ajustes_cer_cvs,bancos_priv_ext_margen_financ_diferencias_cotizacion,bancos_priv_ext_margen_financ_resultado_titulos_valores,bancos_priv_ext_margen_financ_primas_por_pases,bancos_priv_ext_margen_financ_otros_resultados_financs,bancos_priv_ext_resultado_por_servicios,bancos_priv_ext_cargos_por_incobrabilidad,bancos_priv_ext_gastos_administracion,bancos_priv_ext_cargas_impositivas,bancos_priv_ext_ajustes_valuacion_prestamos_sector_publico,bancos_priv_ext_amortizacion_amparos,bancos_priv_ext_diversos,bancos_priv_ext_resultado_monetario,bancos_priv_ext_resultado_tot_antes_imp_ganancias,bancos_priv_ext_impuesto_ganancias,bancos_priv_ext_resultado_total,bancos_priv_ext_resultado_ajustado,bancos_pub_margen_financ,bancos_pub_margen_financ_ingresos_por_intereses,bancos_pub_margen_financ_egresos_por_intereses,bancos_pub_margen_financ_ajustes_cer_cvs,bancos_pub_margen_financ_diferencias_cotizacion,bancos_pub_margen_financ_resultado_titulos_valores,bancos_pub_margen_financ_primas_por_pases,bancos_pub_margen_financ_otros_resultados_financs,bancos_pub_resultado_por_servicios,bancos_pub_cargos_por_incobrabilidad,bancos_pub_gastos_administracion,bancos_pub_cargas_impositivas,bancos_pub_ajustes_valuacion_prestamos_al_sector_publico,bancos_pub_amortizacion_amparos,bancos_pub_diversos,bancos_pub_resultado_monetario,bancos_pub_resultado_tot_antes_imp_ganancias,bancos_pub_impuesto_ganancias,bancos_pub_resultado_total,bancos_pub_resultado_ajustado,enti_finan_no_banc_margen_financ,enti_finan_no_banc_margen_financ_ingresos_por_intereses,enti_finan_no_banc_margen_financ_egresos_por_intereses,enti_finan_no_banc_margen_financ_ajustes_cer_cvs,enti_finan_no_banc_margen_financ_diferencias_cotizacion,enti_finan_no_banc_margen_financ_resultado_titulos_valores,enti_finan_no_banc_margen_financ_primas_por_pases,enti_finan_no_banc_margen_financ_otros_resultados_financs,enti_finan_no_banc_resultado_por_servicios,enti_finan_no_banc_cargos_por_incobrabilidad,enti_finan_no_banc_gastos_administracion,enti_finan_no_banc_cargas_impositivas,enti_finan_no_banc_ajustes_valuacion_prestamos_sector_pub,enti_finan_no_banc_amortizacion_amparos,enti_finan_no_banc_diversos,enti_finan_no_banc_resultado_monetario,enti_finan_no_banc_resultado_tot_antes_imp_ganancias,enti_finan_no_banc_impuesto_ganancias,enti_finan_no_banc_resultado_total,enti_finan_no_banc_resultado_ajustado
2010-01-01,2183.54,2245.736,-997.7560000000001,154.608,174.359,497.188,113.927,-4.522,1153.697,-263.629,-2055.548,-296.725,-23.827,-30.899,200.912,0.0,867.521,-181.578,685.943,740.669,1443.3750000000002,1477.6200000000001,-604.141,16.053,128.261,378.892,33.685,13.005,833.56,-178.886,-1321.434,-209.701,-0.746,-19.497,82.036,0.0,628.707,-163.288,465.419,485.662,792.688,804.062,-395.464,4.352,51.779,338.561,4.093999999999999,-14.696,436.648,-97.252,-709.071,-130.47,-0.561,-12.843,53.894999999999996,0.0,333.034,-72.633,260.401,273.805,650.687,673.558,-208.677,11.701,76.482,40.331,29.591,27.701,396.912,-81.634,-612.363,-79.231,-0.185,-6.654,28.141,0.0,295.673,-90.655,205.018,211.857,650.3770000000001,640.8520000000001,-353.40299999999996,138.671,42.729,116.46,80.509,-15.441,285.525,-59.476,-674.351,-77.662,-23.069,-11.395,111.507,0.0,201.45600000000002,-8.965,192.491,226.955,89.78799999999978,127.26399999999967,-40.2120000000001,-0.115999999999989,3.3689999999999998,1.8360000000000127,-0.2669999999999959,-2.0860000000000003,34.611999999999966,-25.267000000000024,-59.76299999999969,-9.362000000000023,-0.012000000000002675,-0.0070000000000014495,7.369,0.0,37.358000000000004,-9.324999999999989,28.033000000000015,28.051999999999964
2010-02-01,2156.951,2096.5229999999997,-909.557,163.469,214.287,483.025,155.184,-45.98,1116.989,-250.205,-1932.506,-276.319,-25.334,-38.434,-6.257,0.0,744.885,-241.104,503.781,567.549,1356.9259999999997,1375.7259999999999,-542.48,20.699,127.211,353.31,52.542,-30.082,798.899,-170.222,-1274.533,-200.847,-0.941,-24.72,65.136,0.0,549.698,-224.266,325.432,351.093,760.5280000000002,758.5740000000001,-360.26099999999997,4.824,57.898,300.784,20.44,-21.731,427.816,-76.572,-693.193,-121.896,-0.741,-10.601,35.535000000000004,0.0,320.876,-120.256,200.62,211.96200000000002,596.398,617.152,-182.219,15.875,69.313,52.525999999999996,32.102,-8.351,371.08299999999997,-93.65,-581.34,-78.951,-0.2,-14.119,29.601,0.0,228.822,-104.01,124.812,139.13099999999997,704.961,593.167,-331.34000000000003,142.931,83.717,127.305,102.654,-13.473,283.448,-53.055,-598.677,-66.126,-24.394,-13.694,-77.262,0.0,155.201,-5.382,149.819,187.907,95.0640000000003,127.62999999999988,-35.736999999999966,-0.16100000000001913,3.3589999999999947,2.409999999999968,-0.012000000000000455,-2.424999999999997,34.64200000000005,-26.927999999999997,-59.29600000000028,-9.346000000000004,0.0009999999999986686,-0.01999999999999602,5.869,0.0,39.98599999999999,-11.456000000000017,28.529999999999973,28.54899999999992
2010-03-01,3070.518,2365.911,-1051.704,224.012,172.666,1357.492,95.342,-93.201,1283.132,-266.574,-2449.894,-308.26,-24.087,-51.492,131.444,0.0,1384.787,-455.039,929.748,1005.327,2009.811,1551.251,-607.047,17.842,119.339,958.586,44.828,-74.988,917.476,-183.402,-1599.35,-219.968,6.841,-25.131,100.399,0.0,1006.676,-323.096,683.58,701.87,948.8080000000002,857.0240000000001,-401.19599999999997,5.561,53.038,462.144,11.84,-39.603,487.738,-95.462,-851.301,-133.575,6.825,-10.986,48.763999999999996,0.0,400.81100000000004,-166.707,234.104,238.26500000000001,1061.0030000000002,694.227,-205.851,12.280999999999999,66.301,496.442,32.98800000000001,-35.385,429.738,-87.94,-748.049,-86.393,0.016,-14.145,51.635000000000005,0.0,605.865,-156.389,449.476,463.60499999999996,945.735,677.0360000000001,-405.949,206.361,50.725,382.696,50.525999999999996,-15.66,328.605,-58.844,-787.878,-77.829,-30.928,-26.353,21.001,0.0,313.509,-113.256,200.253,257.534,114.97199999999998,137.62400000000002,-38.707999999999856,-0.1909999999999883,2.602000000000004,16.209999999999923,-0.012000000000000455,-2.5529999999999973,37.051000000000045,-24.32800000000003,-62.66599999999971,-10.462999999999994,0.0,-0.007999999999995566,10.043999999999983,0.0,64.60200000000009,-18.687000000000012,45.91500000000008,45.923
2010-04-01,2476.579,2307.726,-1019.9710000000001,201.278,139.692,748.149,85.16799999999999,14.537,1258.107,-247.339,-2253.828,-308.89,-28.767,-37.769,210.266,0.0,1068.359,-151.869,916.49,983.026,1616.3560000000002,1502.085,-578.319,21.532,107.406,487.751,45.411,30.49,896.304,-187.917,-1478.477,-228.414,2.465,-22.91,109.191,0.0,706.598,-109.962,596.636,617.081,786.394,831.307,-384.836,7.087,45.608,278.171,15.61,-6.553,468.812,-94.722,-783.212,-142.087,2.519,-10.811,63.691,0.0,290.584,-88.347,202.237,210.529,829.962,670.778,-193.483,14.445,61.798,209.57999999999998,29.801,37.043,427.492,-93.195,-695.265,-86.327,-0.054,-12.099,45.5,0.0,416.014,-21.615,394.399,406.55199999999996,761.029,669.987,-404.08299999999997,179.93,29.744,259.295,39.776,-13.62,325.309,-42.797,-711.315,-70.352,-31.219,-14.855,93.478,0.0,309.27799999999996,-27.085,282.193,328.267,99.19399999999996,135.654,-37.56900000000019,-0.18400000000001526,2.5420000000000016,1.1030000000000086,-0.019000000000012562,-2.3329999999999984,36.49400000000003,-16.625,-64.03599999999983,-10.123999999999995,-0.012999999999998124,-0.003999999999997783,7.596999999999994,0.0,52.48300000000005,-14.821999999999989,37.66100000000006,37.678
2010-05-01,2126.04,2398.37,-1075.716,158.579,192.027,328.972,97.096,26.712,1288.547,-256.392,-2294.168,-314.125,-27.452,-60.447,230.545,0.0,692.548,-140.909,551.639,639.538,1372.7659999999998,1600.0179999999998,-579.4839999999999,18.557,108.974,107.268,37.243,80.19,902.78,-181.045,-1490.195,-228.088,0.785,-43.166,78.835,0.0,412.67199999999997,-124.106,288.566,330.947,771.218,895.288,-388.79200000000003,5.0,41.407,180.083,15.149000000000003,23.083,478.068,-92.474,-792.901,-145.546,0.956,-31.675,53.308,0.0,240.954,-67.422,173.532,204.25100000000003,601.548,704.73,-190.692,13.557,67.567,-72.815,22.094,57.107,424.712,-88.571,-697.294,-82.542,-0.171,-11.491,25.527,0.0,171.718,-56.684,115.03399999999999,126.696,648.1,658.558,-458.434,140.167,80.005,219.579,59.870000000000005,-51.645,349.964,-55.776,-739.445,-75.978,-28.237,-17.232,146.122,0.0,227.518,-7.408,220.11,265.579,105.1740000000002,139.7940000000001,-37.798,-0.14499999999999247,3.0479999999999876,2.1249999999999716,-0.017000000000003013,-1.8329999999999984,35.80300000000011,-19.570999999999998,-64.52800000000002,-10.058999999999997,-3.4416913763379853e-15,-0.049000000000006594,5.58799999999998,0.0,52.35800000000003,-9.39500000000001,42.96300000000002,43.012
2010-06-01,2712.8489999999993,2372.6479999999997,-1058.768,140.533,150.407,1103.462,83.676,-79.109,1358.784,-252.074,-2430.457,-319.683,-21.471,-123.003,273.903,0.0,1198.848,-361.679,837.169,981.643,1784.6909999999998,1581.451,-570.288,12.888,126.801,661.185,33.6,-60.946,942.027,-149.077,-1636.23,-230.429,0.799,-105.253,139.41,0.0,745.938,-216.157,529.781,634.235,940.51,875.616,-377.869,4.625,54.629,406.377,13.944999999999997,-36.813,522.88,-74.637,-800.639,-138.505,1.004,-92.36,71.271,0.0,429.524,-79.658,349.866,441.222,844.1809999999999,705.8349999999999,-192.41899999999998,8.263,72.172,254.808,19.655,-24.133000000000003,419.147,-74.44,-835.591,-91.924,-0.205,-12.893,68.139,0.0,316.414,-136.499,179.915,193.013,817.981,655.668,-453.115,127.759,21.073,433.086,50.091,-16.581,381.875,-85.462,-726.85,-77.463,-22.27,-17.632,97.427,0.0,367.606,-128.879,238.727,278.629,110.17699999999945,135.52899999999954,-35.36500000000001,-0.1140000000000132,2.5330000000000013,9.191000000000031,-0.015000000000000568,-1.5819999999999936,34.88200000000006,-17.535000000000025,-67.37699999999995,-11.790999999999997,0.0,-0.117999999999995,37.066,0.0,85.30400000000003,-16.642999999999972,68.66100000000006,68.779
2010-07-01,3684.105,2586.027,-1129.953,182.598,194.04,1773.077,168.69,-90.374,1358.536,-208.289,-2336.519,-349.14,-15.552,-29.15,10.103,0.0,2114.094,-799.777,1314.317,1359.019,2163.4550000000004,1709.0990000000002,-607.523,21.973,131.471,960.545,20.84,-72.95,962.647,-156.804,-1559.228,-253.067,6.018,-15.782,96.312,0.0,1243.551,-353.921,889.63,899.394,1069.9920000000002,960.1360000000001,-396.834,13.663,54.78,468.348,8.247,-38.348,517.296,-87.806,-834.385,-158.361,4.346,-5.097,45.418,0.0,551.403,-171.235,380.168,380.919,1093.463,748.963,-210.689,8.31,76.691,492.197,12.592999999999998,-34.602,445.351,-68.998,-724.843,-94.70599999999999,1.672,-10.684999999999999,50.89399999999999,0.0,692.148,-182.686,509.462,518.4749999999999,1411.774,737.691,-486.30899999999997,160.752,59.328,808.335,147.869,-15.892,362.981,-38.114,-711.449,-85.208,-21.571,-13.366,-95.848,0.0,809.1990000000001,-428.982,380.217,415.154,108.87599999999975,139.23699999999985,-36.12099999999998,-0.12699999999999534,3.2409999999999854,4.197000000000003,-0.019000000000001904,-1.5319999999999965,32.908000000000015,-13.370999999999981,-65.84199999999964,-10.865000000000009,0.0010000000000021103,-0.0019999999999988916,9.638999999999996,0.0,61.34400000000005,-16.874000000000024,44.47000000000003,44.471000000000004
2010-08-01,3362.261,2651.949,-1197.687,321.232,158.951,1392.317,74.79400000000001,-39.295,1346.358,-394.245,-2343.998,-346.88,-16.379,-58.379,-99.849,0.0,1448.889,-510.787,938.102,1012.86,1922.023,1711.859,-637.817,57.195,117.278,672.165,22.361,-21.018,954.941,-177.932,-1531.313,-250.737,3.989,-43.578,35.939,0.0,913.332,-247.694,665.638,705.227,946.3330000000001,953.97,-417.87,13.633,50.094,365.381,10.137,-29.012,518.333,-95.615,-811.209,-154.668,2.182,-32.962,19.076000000000004,0.0,391.47,-129.737,261.733,292.513,975.69,757.889,-219.947,43.562,67.184,306.78400000000005,12.223999999999998,7.994,436.608,-82.31700000000001,-720.104,-96.06899999999999,1.807,-10.616,16.863,0.0,521.8620000000001,-117.957,403.90500000000003,412.714,1332.011,799.4040000000001,-522.452,264.16,39.533,715.828,52.39,-16.852,358.824,-119.614,-732.526,-85.234,-20.369,-14.759,-134.528,0.0,583.8050000000001,-244.895,338.91,374.038,108.22700000000009,140.68600000000015,-37.41799999999989,-0.12299999999999756,2.1399999999999864,4.324000000000069,0.04300000000000992,-1.4250000000000007,32.59299999999985,-96.69899999999998,-80.1590000000001,-10.90900000000002,0.0009999999999985576,-0.041999999999994486,-1.2600000000000122,0.0,-48.248000000000076,-18.19799999999995,-66.44600000000003,-66.40499999999997
2010-09-01,3425.633,2657.404,-1232.13,255.057,210.697,1511.554,68.87700000000001,-45.826,1418.95,-235.625,-2543.256,-375.185,-2.464,-31.582,278.491,0.0,1934.962,-872.086,1062.876,1096.922,1942.4619999999998,1719.491,-667.608,57.752,140.648,704.754,17.135,-29.71,991.371,-181.931,-1726.084,-253.323,5.16,-15.079,225.607,0.0,988.183,-330.134,658.049,667.968,925.468,957.8040000000001,-426.225,18.117,66.132,319.489,7.707,-17.556,542.97,-108.567,-884.154,-149.331,2.437,-5.155,101.617,0.0,425.285,-142.43,282.855,285.573,1016.9939999999999,761.687,-241.38300000000004,39.635,74.516,385.265,9.428,-12.154,448.401,-73.364,-841.9300000000001,-103.992,2.723,-9.924,123.99000000000001,0.0,562.898,-187.704,375.194,382.395,1368.0449999999998,790.9459999999999,-526.772,197.421,67.512,802.227,51.393,-14.682,396.771,-37.552,-748.815,-110.045,-7.624,-16.471,44.583,0.0,888.892,-509.176,379.716,403.811,115.12599999999998,146.9670000000001,-37.750000000000114,-0.11600000000000676,2.537000000000006,4.573000000000093,0.3490000000000073,-1.4339999999999975,30.808000000000106,-16.141999999999996,-68.35699999999974,-11.816999999999979,0.0,-0.03200000000000003,8.300999999999988,0.0,57.887,-32.77600000000001,25.11099999999999,25.143000000000143
2010-10-01,3782.0290000000005,2800.821,-1281.951,285.166,134.804,1824.844,55.876,-37.531,1419.971,-265.918,-2528.366,-398.953,-2.24,-110.488,80.838,0.0,1976.873,-547.188,1429.685,1542.413,2143.113,1820.7559999999999,-703.478,40.714,117.489,872.203,11.989,-16.56,996.25,-192.76,-1626.65,-272.757,11.677,-94.542,97.556,0.0,1061.887,-290.487,771.4,854.265,1056.707,1011.313,-453.07099999999997,4.717,51.038,463.899,3.3610000000000007,-24.55,533.869,-115.974,-908.813,-163.968,1.674,-84.005,74.636,0.0,394.126,-94.051,300.075,382.406,1086.4059999999997,809.4429999999999,-250.407,35.997,66.45100000000001,408.304,8.627999999999998,7.99,462.38100000000003,-76.786,-717.837,-108.78900000000002,10.003,-10.536999999999999,22.92,0.0,667.761,-196.43599999999998,471.325,471.859,1519.4009999999998,825.7199999999999,-536.719,244.57,14.414,946.958,43.9,-19.442,389.807,-53.268,-831.789,-114.579,-13.919,-15.944,-26.344,0.0,853.365,-237.5,615.865,645.728,119.51500000000078,154.34500000000025,-41.75400000000002,-0.117999999999995,2.9009999999999962,5.683000000000106,-0.013000000000001677,-1.529,33.91399999999999,-19.890000000000015,-69.92699999999991,-11.616999999999962,0.002000000000000668,-0.001999999999995339,9.62599999999999,0.0,61.620999999999924,-19.200999999999965,42.41999999999996,42.42000000000007
