fecha,valor
9/23/2016,38,00
9/24/2016,38,00
9/25/2016,38,00
9/26/2016,38,00
9/27/2016,36,00
9/28/2016,36,00
9/29/2016,36,00
9/30/2016,36,00
10/1/2016,33,00
10/2/2016,33,00
10/3/2016,33,00
10/4/2016,33,00
10/5/2016,32,00
10/6/2016,32,00
10/7/2016,32,00
10/8/2016,32,00
10/9/2016,32,00
10/10/2016,31,00
10/11/2016,31,00
10/12/2016,31,00
10/13/2016,31,00
10/14/2016,31,00
10/15/2016,31,00
10/16/2016,31,00
10/17/2016,31,00
10/18/2016,31,00
10/19/2016,31,00
10/20/2016,30,75
10/21/2016,30,75
10/22/2016,30,75
10/23/2016,30,75
10/24/2016,30,75
10/25/2016,30,50
10/26/2016,30,50
10/27/2016,30,50
10/28/2016,30,25
10/29/2016,30,25
10/30/2016,30,25
10/31/2016,30,25
11/1/2016,30,25
11/2/2016,30,50
11/3/2016,30,50
11/4/2016,30,50
11/5/2016,30,50
11/6/2016,30,50
11/7/2016,31,15
11/8/2016,31,15
11/9/2016,31,15
11/10/2016,31,15
11/11/2016,31,15
11/12/2016,37,00
11/13/2016,37,00
11/14/2016,37,00
11/15/2016,37,00
11/16/2016,37,00
11/17/2016,38,00
11/18/2016,38,00
11/19/2016,38,00
11/20/2016,38,00
11/21/2016,38,00
11/22/2016,38,00
11/23/2016,38,00
11/24/2016,38,00
11/25/2016,38,00
11/26/2016,38,00
11/27/2016,38,00
11/28/2016,38,00
11/29/2016,38,00
11/30/2016,38,00
12/1/2016,38,00
12/2/2016,38,00
12/3/2016,38,00
12/4/2016,38,00
12/5/2016,38,00
12/6/2016,38,00
12/7/2016,38,00
12/8/2016,38,00
12/9/2016,38,00
12/10/2016,38,00
12/11/2016,38,00
12/12/2016,38,00
12/13/2016,38,00
12/14/2016,38,00
12/15/2016,38,00
12/16/2016,38,00
12/17/2016,38,00
12/18/2016,38,00
12/19/2016,38,00
12/20/2016,38,00
12/21/2016,38,00
12/22/2016,38,00
12/23/2016,38,00
12/24/2016,38,00
12/25/2016,37,50
12/26/2016,37,50
12/27/2016,37,50
12/28/2016,37,50
12/29/2016,37,50
12/30/2016,37,50
12/31/2016,37,50
1/1/2017,37,50
1/2/2017,37,50
1/3/2017,37,50
1/4/2017,36,75
1/5/2017,36,75
1/6/2017,36,75
1/7/2017,36,75
1/8/2017,36,75
1/9/2017,35,25
1/10/2017,35,25
1/11/2017,35,25
1/12/2017,35,25
1/13/2017,34,25
1/14/2017,34,25
1/15/2017,34,25
1/16/2017,34,25
1/17/2017,34,25
1/18/2017,33,25
1/19/2017,33,25
1/20/2017,33,25
1/21/2017,33,25
1/22/2017,33,25
1/23/2017,32,25
1/24/2017,32,25
1/25/2017,32,25
1/26/2017,31,50
1/27/2017,31,50
1/28/2017,31,50
1/29/2017,31,50
1/30/2017,31,50
1/31/2017,30,75
2/1/2017,30,75
2/2/2017,30,75
2/3/2017,30,75
2/4/2017,30,75
2/5/2017,30,25
2/6/2017,30,25
2/7/2017,30,25
2/8/2017,30,25
2/9/2017,30,25
2/10/2017,30,25
2/11/2017,30,25
2/12/2017,30,25
2/13/2017,30,25
2/14/2017,30,25
2/15/2017,30,25
