fecha,valor
12/17/2015,13.4
12/18/2015,13.25
12/19/2015,13.25
12/20/2015,13.25
12/21/2015,12.86
12/22/2015,12.98
12/23/2015,13.02
12/24/2015,13.08
12/25/2015,13.08
12/26/2015,13.08
12/27/2015,13.08
12/28/2015,13
12/29/2015,12.963
12/30/2015,12.984
12/31/2015,13.04
1/1/2016,13.04
1/2/2016,13.04
1/3/2016,13.04
1/4/2016,13.2
1/5/2016,13.65
1/6/2016,13.89
1/7/2016,13.9
1/8/2016,13.88
1/9/2016,13.88
1/10/2016,13.88
1/11/2016,13.65
1/12/2016,13.55
1/13/2016,13.54
1/14/2016,13.25
1/15/2016,13.4
1/16/2016,13.4
1/17/2016,13.4
1/18/2016,13.56
1/19/2016,13.43
1/20/2016,13.5
1/21/2016,13.6
1/22/2016,13.73
1/23/2016,13.73
1/24/2016,13.73
1/25/2016,13.81
1/26/2016,13.85
1/27/2016,13.88
1/28/2016,13.84
1/29/2016,13.96
1/30/2016,13.96
1/31/2016,13.96
2/1/2016,14.13
2/2/2016,14.135
2/3/2016,14.16
2/4/2016,14.23
2/5/2016,14.361
2/6/2016,14.361
2/7/2016,14.361
2/8/2016,14.361
2/9/2016,14.361
2/10/2016,14.5
2/11/2016,14.64
2/12/2016,14.73
2/13/2016,14.73
2/14/2016,14.73
2/15/2016,14.8
2/16/2016,14.838
2/17/2016,14.99
2/18/2016,15.06
2/19/2016,15.06
2/20/2016,15.06
2/21/2016,15.06
2/22/2016,15.25
2/23/2016,15.3
2/24/2016,15.35
2/25/2016,15.39
2/26/2016,15.47
2/27/2016,15.47
2/28/2016,15.47
2/29/2016,15.8
3/1/2016,15.8
3/2/2016,15.66
3/3/2016,15.2
3/4/2016,15.2
3/5/2016,15.2
3/6/2016,15.2
3/7/2016,15.405
3/8/2016,15.449
3/9/2016,15.37
3/10/2016,15.34
3/11/2016,14.85
3/12/2016,14.85
3/13/2016,14.85
3/14/2016,14.8
3/15/2016,14.52
3/16/2016,14.61
3/17/2016,14.95
3/18/2016,14.76
3/19/2016,14.76
3/20/2016,14.76
3/21/2016,14.47
3/22/2016,14.39
3/23/2016,14.5
3/24/2016,14.5
3/25/2016,14.5
3/26/2016,14.5
3/27/2016,14.5
3/28/2016,14.83
3/29/2016,14.63
3/30/2016,14.6
3/31/2016,14.7
4/1/2016,14.79
4/2/2016,14.79
4/3/2016,14.79
4/4/2016,14.73
4/5/2016,14.68
4/6/2016,14.6
4/7/2016,14.47
4/8/2016,14.48
4/9/2016,14.48
4/10/2016,14.48
4/11/2016,14.52
4/12/2016,14.455
4/13/2016,14.395
4/14/2016,14.33
4/15/2016,14.05
4/16/2016,14.05
4/17/2016,14.05
4/18/2016,14.14
4/19/2016,14.19
4/20/2016,14.34
4/21/2016,14.27
4/22/2016,14.3
4/23/2016,14.3
4/24/2016,14.3
4/25/2016,14.33
4/26/2016,14.31
4/27/2016,14.19
4/28/2016,14.3
4/29/2016,14.25
4/30/2016,14.25
5/1/2016,14.25
5/2/2016,14.19
5/3/2016,14.2
5/4/2016,14.24
5/5/2016,14.24
5/6/2016,14.21
5/7/2016,14.21
5/8/2016,14.21
5/9/2016,14.235
5/10/2016,14.234
5/11/2016,14.21
5/12/2016,14.17
5/13/2016,14.15
5/14/2016,14.15
5/15/2016,14.15
5/16/2016,14.137
5/17/2016,14.14
5/18/2016,14.135
5/19/2016,14.1
5/20/2016,14.035
5/21/2016,14.035
5/22/2016,14.035
5/23/2016,13.99
5/24/2016,14.05
5/25/2016,14.05
5/26/2016,13.995
5/27/2016,13.92
5/28/2016,13.92
5/29/2016,13.92
5/30/2016,13.99
5/31/2016,13.991
6/1/2016,13.95
6/2/2016,13.9
6/3/2016,13.851
6/4/2016,13.851
6/5/2016,13.851
6/6/2016,13.77
6/7/2016,13.84
6/8/2016,13.9
6/9/2016,13.82
6/10/2016,13.8
6/11/2016,13.8
6/12/2016,13.8
6/13/2016,13.8
6/14/2016,13.75
6/15/2016,13.745
6/16/2016,13.92
6/17/2016,13.92
6/18/2016,13.92
6/19/2016,13.92
6/20/2016,13.92
6/21/2016,13.97
6/22/2016,14.07
6/23/2016,14.45
6/24/2016,14.93
6/25/2016,14.93
6/26/2016,14.93
6/27/2016,15.3
6/28/2016,14.9
6/29/2016,14.98
6/30/2016,15.04
7/1/2016,15
7/2/2016,15
7/3/2016,15
7/4/2016,15.06
7/5/2016,14.8
7/6/2016,14.695
7/7/2016,14.725
7/8/2016,14.725
7/9/2016,14.725
7/10/2016,14.725
7/11/2016,14.64
7/12/2016,14.56
7/13/2016,14.57
7/14/2016,14.74
7/15/2016,14.95
7/16/2016,14.95
7/17/2016,14.95
7/18/2016,15.15
7/19/2016,15
7/20/2016,15.07
7/21/2016,15
7/22/2016,14.91
7/23/2016,14.91
7/24/2016,14.91
7/25/2016,14.95
7/26/2016,14.95
7/27/2016,15
7/28/2016,15.04
7/29/2016,15.01
7/30/2016,15.01
7/31/2016,15.01
8/1/2016,14.93
8/2/2016,14.85
8/3/2016,14.87
8/4/2016,14.85
8/5/2016,14.79
8/6/2016,14.79
8/7/2016,14.79
8/8/2016,14.67
8/9/2016,14.77
8/10/2016,14.67
8/11/2016,14.66
8/12/2016,14.67
8/13/2016,14.67
8/14/2016,14.67
8/15/2016,14.67
8/16/2016,14.67
8/17/2016,14.78
8/18/2016,14.94
8/19/2016,14.918
8/20/2016,14.918
8/21/2016,14.918
8/22/2016,14.81
8/23/2016,14.84
8/24/2016,14.86
8/25/2016,14.89
8/26/2016,15
8/27/2016,15
8/28/2016,15
8/29/2016,15.1
8/30/2016,15.01
8/31/2016,14.93
9/1/2016,14.9
9/2/2016,14.99
9/3/2016,14.99
9/4/2016,14.99
9/5/2016,15.02
9/6/2016,15.02
9/7/2016,15.05
9/8/2016,15.07
9/9/2016,14.98
9/10/2016,14.98
9/11/2016,14.98
9/12/2016,14.95
9/13/2016,15
9/14/2016,15.03
9/15/2016,15.07
9/16/2016,15.13
9/17/2016,15.13
9/18/2016,15.13
9/19/2016,15.15
9/20/2016,15.14
9/21/2016,15.14
9/22/2016,15.164
9/23/2016,15.166
9/24/2016,15.166
9/25/2016,15.166
9/26/2016,15.24
9/27/2016,15.28
9/28/2016,15.39
9/29/2016,15.375
9/30/2016,15.31
10/1/2016,15.31
10/2/2016,15.31
10/3/2016,15.195
10/4/2016,15.17
10/5/2016,15.19
10/6/2016,15.21
10/7/2016,15.185
10/8/2016,15.185
10/9/2016,15.185
10/10/2016,15.185
10/11/2016,15.17
10/12/2016,15.07
10/13/2016,15.132
10/14/2016,15.175
10/15/2016,15.175
10/16/2016,15.175
10/17/2016,15.198
10/18/2016,15.208
10/19/2016,15.195
10/20/2016,15.155
10/21/2016,15.135
10/22/2016,15.135
10/23/2016,15.135
10/24/2016,15.146
10/25/2016,15.23
10/26/2016,15.205
10/27/2016,15.174
10/28/2016,15.19
10/29/2016,15.19
10/30/2016,15.19
10/31/2016,15.15
11/1/2016,15.075
11/2/2016,15.11
11/3/2016,15.1
11/4/2016,15.06
11/5/2016,15.06
11/6/2016,15.06
11/7/2016,15.05
11/8/2016,14.93
11/9/2016,14.92
11/10/2016,15.03
11/11/2016,15.37
11/12/2016,15.37
11/13/2016,15.37
11/14/2016,15.65
11/15/2016,15.5
11/16/2016,15.5
11/17/2016,15.48
11/18/2016,15.47
11/19/2016,15.47
11/20/2016,15.47
11/21/2016,15.385
11/22/2016,15.73
11/23/2016,15.54
11/24/2016,15.54
11/25/2016,15.545
11/26/2016,15.545
11/27/2016,15.545
11/28/2016,15.545
11/29/2016,15.7
11/30/2016,15.868
12/1/2016,15.84
12/2/2016,15.94
12/3/2016,15.94
12/4/2016,15.94
12/5/2016,15.871
12/6/2016,15.92
12/7/2016,15.99
12/8/2016,15.99
12/9/2016,15.99
12/10/2016,15.99
12/11/2016,15.99
12/12/2016,16.03
12/13/2016,15.966
12/14/2016,15.97
12/15/2016,15.96
12/16/2016,15.9
12/17/2016,15.9
12/18/2016,15.9
12/19/2016,15.84
12/20/2016,15.86
12/21/2016,15.79
12/22/2016,15.73
12/23/2016,15.497
12/24/2016,15.497
12/25/2016,15.497
12/26/2016,15.54
12/27/2016,15.55
12/28/2016,15.75
12/29/2016,15.928
12/30/2016,15.89
12/31/2016,15.89
1/1/2017,15.89
1/2/2017,15.92
1/3/2017,15.945
1/4/2017,16.08
1/5/2017,15.96
1/6/2017,15.81
1/7/2017,15.81
1/8/2017,15.81
1/9/2017,15.885
1/10/2017,15.85
1/11/2017,15.85
1/12/2017,15.81
1/13/2017,15.853
1/14/2017,15.853
1/15/2017,15.853
1/16/2017,15.88
1/17/2017,15.909
1/18/2017,15.975
1/19/2017,15.9
1/20/2017,15.915
1/21/2017,15.915
1/22/2017,15.915
1/23/2017,15.94
1/24/2017,15.93
1/25/2017,15.955
1/26/2017,15.92
1/27/2017,15.9
1/28/2017,15.9
1/29/2017,15.9
1/30/2017,15.92
1/31/2017,15.897
2/1/2017,15.8
2/2/2017,15.68
2/3/2017,15.62
2/4/2017,15.62
2/5/2017,15.62
2/6/2017,15.78
2/7/2017,15.675
2/8/2017,15.675
2/9/2017,15.61
2/10/2017,15.54
2/11/2017,15.54
2/12/2017,15.54
2/13/2017,15.485
2/14/2017,15.47
2/15/2017,15.36
2/16/2017,15.435
2/17/2017,15.68
2/18/2017,15.68
2/19/2017,15.68
2/20/2017,15.685
2/21/2017,15.61
2/22/2017,15.565
2/23/2017,15.5
2/24/2017,15.48
2/25/2017,15.48
2/26/2017,15.48
2/27/2017,15.48
2/28/2017,15.48
3/1/2017,15.42
3/2/2017,15.4
3/3/2017,15.45
3/4/2017,15.45
3/5/2017,15.45
3/6/2017,15.48
3/7/2017,15.55
3/8/2017,15.645
3/9/2017,15.53
3/10/2017,15.48
3/11/2017,15.48
3/12/2017,15.48
3/13/2017,15.54
3/14/2017,15.535
3/15/2017,15.57
3/16/2017,15.53
3/17/2017,15.56
3/18/2017,15.56
3/19/2017,15.56
3/20/2017,15.63
3/21/2017,15.6
3/22/2017,15.635
3/23/2017,15.59
3/24/2017,15.59
3/25/2017,15.59
3/26/2017,15.59
3/27/2017,15.565
3/28/2017,15.538
3/29/2017,15.43
3/30/2017,15.41
3/31/2017,15.39
4/1/2017,15.39
4/2/2017,15.39
4/3/2017,15.395
4/4/2017,15.35
4/5/2017,15.362
4/6/2017,15.39
4/7/2017,15.345
4/8/2017,15.345
4/9/2017,15.345
4/10/2017,15.21
4/11/2017,15.265
4/12/2017,15.19
4/13/2017,15.19
4/14/2017,15.19
4/15/2017,15.19
4/16/2017,15.19
4/17/2017,15.2
4/18/2017,15.299
4/19/2017,15.4
4/20/2017,15.389
4/21/2017,15.49
4/22/2017,15.49
4/23/2017,15.49
4/24/2017,15.39
4/25/2017,15.42
4/26/2017,15.49
4/27/2017,15.42
4/28/2017,15.4
4/29/2017,15.4
4/30/2017,15.4
5/1/2017,15.4
5/2/2017,15.3
5/3/2017,15.29
5/4/2017,15.31
5/5/2017,15.37
5/6/2017,15.37
5/7/2017,15.37
5/8/2017,15.47
5/9/2017,15.525
5/10/2017,15.51
5/11/2017,15.435
5/12/2017,15.44
5/13/2017,15.44
5/14/2017,15.44
5/15/2017,15.53
